id,nombre,archivo_fuente,autor,licencia,url_licencia,url_fuente,modificacion
ING-001,Aceituna,Manzanilla olives.jpg,Steven Walling,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Manzanilla_olives.jpg,Redimensionada y convertida a WebP
ING-002,Acelga,Swiss-chard---2024-04-23 03.jpg,RuinDig / Yuki Uchida,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://commons.wikimedia.org/wiki/File:Swiss-chard---2024-04-23_03.jpg,Redimensionada y convertida a WebP
ING-003,Anco,Cucurbita moschata Butternut 2012 G2.jpg,George Chernilevsky,Dominio publico,https://commons.wikimedia.org/wiki/Template:PD-self,https://commons.wikimedia.org/wiki/File:Cucurbita_moschata_Butternut_2012_G2.jpg,Redimensionada y convertida a WebP
ING-004,Apio,"-2021-11-04 Harvested celery head, Trimingham, Norfolk.JPG",Kolforn,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"https://commons.wikimedia.org/wiki/File:-2021-11-04_Harvested_celery_head,_Trimingham,_Norfolk.JPG",Redimensionada y convertida a WebP
ING-005,Berro,Watercress (2).JPG,Masparasol,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,https://commons.wikimedia.org/wiki/File:Watercress_(2).JPG,Redimensionada y convertida a WebP
ING-006,Brocoli,Broccoli (4690879117).jpg,cyclonebill,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,https://commons.wikimedia.org/wiki/File:Broccoli_(4690879117).jpg,Redimensionada y convertida a WebP
ING-007,Cebolla,Brown onions.jpg,Maksym Kozlenko,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://commons.wikimedia.org/wiki/File:Brown_onions.jpg,Redimensionada y convertida a WebP
ING-008,Cebolla Morada,Whole onion.jpg,darwin Bell,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,https://commons.wikimedia.org/wiki/File:Whole_onion.jpg,Redimensionada y convertida a WebP
ING-009,Cebollita,Green onions (331495843).jpg,Mack Male,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,https://commons.wikimedia.org/wiki/File:Green_onions_(331495843).jpg,Redimensionada y convertida a WebP
ING-010,Cherry,Cherry tomatoes - Massachusetts.jpg,Daderot,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,https://commons.wikimedia.org/wiki/File:Cherry_tomatoes_-_Massachusetts.jpg,Redimensionada y convertida a WebP
